FileName,HotelName,FTPPath,ArchivePath
Innventures_week_20,Innventures,/Data/5873/3288/STR/STRReport,/Archive/5873/3288/STR/STRReport
Highgate_week_20,Highgate,/Data/2479/958/STR/STRReport,/Archive/2479/958/STR/STRReport
